gov_id,population_2023
North Sinai Governorate,0
South Sinai Governorate,0
Aswan Governorate,0
Red Sea Governorate,0
Matrouh Governorate,0
New Valley Governorate,0
Alexandria Governorate,0
Ismailia Governorate,0
Suez Governorate,0
Gharbiyya Governorate,0
Faiyum Governorate,0
Beni Suef Governorate,0
Minya Governate,0
Asyut Governorate,0
Sohag Governorate,0
Qena Governorate,0
Luxor Governate,0
Giza Governorate,0
Monufia Governorate,0
Beheira Governorate,0
Cairo Governorate,0
Qalyubia Governorate,0
Dakahlia Governorate,0
Damietta Governorate,0
Kafr el-Sheikh Governorate,0
Port Said Governorate,0
Al Sharqia Governorate,0
